Fund Name,Date,NAV
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2018-12-21,9.78
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2018-12-24,9.7
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2018-12-26,9.74
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2018-12-27,9.75
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2018-12-28,9.81
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2018-12-31,9.83
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-01-01,9.85
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-01-02,9.79
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-01-03,9.73
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-01-04,9.72
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-01-07,9.72
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-01-08,9.69
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-01-09,9.72
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-01-10,9.72
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-01-11,9.69
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-01-14,9.63
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-01-15,9.71
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-01-16,9.69
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-01-17,9.7
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-01-18,9.7
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-01-21,9.72
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-01-22,9.72
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-01-23,9.67
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-01-24,9.66
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-01-25,9.61
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-01-28,9.52
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-01-29,9.51
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-01-30,9.49
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-01-31,9.56
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-02-01,9.62
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-02-04,9.65
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-02-05,9.66
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-02-06,9.76
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-02-07,9.79
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-02-08,9.74
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-02-11,9.7
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-02-12,9.67
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-02-13,9.65
