Fund Name,Date,NAV
BANDHAN Arbitrage Fund - Regular Plan - Growth,2018-12-21,22.9235
BANDHAN Arbitrage Fund - Regular Plan - Growth,2018-12-24,22.9295
BANDHAN Arbitrage Fund - Regular Plan - Growth,2018-12-26,22.9194
BANDHAN Arbitrage Fund - Regular Plan - Growth,2018-12-27,22.9395
BANDHAN Arbitrage Fund - Regular Plan - Growth,2018-12-28,22.9294
BANDHAN Arbitrage Fund - Regular Plan - Growth,2018-12-31,22.9318
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-01-01,22.9281
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-01-02,22.9548
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-01-03,22.9495
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-01-04,22.9338
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-01-07,22.9602
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-01-08,22.947
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-01-09,22.9718
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-01-10,22.9648
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-01-11,22.9782
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-01-14,22.9812
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-01-15,22.9661
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-01-16,22.9747
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-01-17,22.9968
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-01-18,23.008
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-01-21,23.0159
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-01-22,23.0105
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-01-23,23.0129
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-01-24,23.0218
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-01-25,23.0455
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-01-28,23.0416
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-01-29,23.0259
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-01-30,23.0587
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-01-31,23.0566
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-02-01,23.0621
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-02-04,23.0652
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-02-05,23.0766
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-02-06,23.062
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-02-07,23.0829
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-02-08,23.0942
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-02-11,23.0927
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-02-12,23.0868
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-02-13,23.1085
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-02-14,23.0936
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-02-15,23.1061
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-02-18,23.1149
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-02-19,23.1243
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-02-20,23.1172
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-02-21,23.1287
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-02-22,23.135
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-02-25,23.1444
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-02-26,23.1567
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-02-27,23.1662
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-02-28,23.153
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-03-01,23.1589
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-03-05,23.1715
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-03-06,23.177
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-03-07,23.1746
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-03-08,23.1752
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-03-11,23.1927
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-03-12,23.2003
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-03-13,23.206
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-03-14,23.2028
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-03-15,23.2132
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-03-18,23.2083
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-03-19,23.2139
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-03-20,23.2258
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-03-22,23.2522
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-03-25,23.2553
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-03-26,23.2418
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-03-27,23.2492
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-03-28,23.2398
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-03-29,23.2807
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-04-01,23.2755
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-04-02,23.2892
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-04-03,23.2858
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-04-04,23.2745
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-04-05,23.2722
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-04-08,23.2974
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-04-09,23.2908
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-04-10,23.3008
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-04-11,23.3006
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-04-12,23.3085
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-04-15,23.3427
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-04-16,23.345
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-04-18,23.3801
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-04-22,23.386
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-04-23,23.3924
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-04-24,23.3833
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-04-25,23.3898
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-04-26,23.4096
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-04-30,23.4421
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-05-02,23.4416
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-05-03,23.4268
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-05-06,23.4378
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-05-07,23.4639
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-05-08,23.4472
BANDHAN Arbitrage Fund - Regular Plan - Growth,2019-05-09,23.4695
