Fund name,Date,NAV
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2018-12-21,9.9125
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2018-12-24,9.8707
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2018-12-26,9.9034
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2018-12-27,9.9302
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2018-12-28,9.9824
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2018-12-31,9.9834
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-01-01,10.0193
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-01-02,9.9662
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-01-03,9.8986
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-01-04,9.9371
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-01-07,9.9722
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-01-08,10.0068
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-01-09,10.0507
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-01-10,10.0395
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-01-11,10.0337
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-01-14,10.0017
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-01-15,10.0826
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-01-16,10.0888
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-01-17,10.1008
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-01-18,10.0853
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-01-21,10.1006
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-01-22,10.0795
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-01-23,10.0079
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-01-24,10.0218
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-01-25,9.9804
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-01-28,9.8981
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-01-29,9.9169
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-01-30,9.954
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-01-31,10.0604
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-02-01,10.0894
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-02-04,10.0868
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-02-05,10.0955
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-02-06,10.1752
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-02-07,10.1876
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-02-08,10.1111
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-02-11,10.0642
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-02-12,10.0219
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-02-13,10.0009
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-02-14,9.979
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-02-15,9.9535
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-02-18,9.9089
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-02-19,9.8775
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-02-20,9.9414
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-02-21,9.9709
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-02-22,9.9843
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-02-25,10.0411
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-02-26,10.0107
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-02-27,10.0022
