Fund Name,Date,NAV
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2018-12-20,206.4768
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2018-12-21,203.7859
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2018-12-24,203.0079
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2018-12-26,203.7294
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2018-12-27,204.3174
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2018-12-28,205.2081
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2018-12-31,205.1124
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2019-01-01,205.4708
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2019-01-02,204.251
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2019-01-03,202.8896
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2019-01-04,203.3495
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2019-01-07,203.75
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2019-01-08,204.0328
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2019-01-09,204.688
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2019-01-10,204.3955
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2019-01-11,203.7682
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2019-01-14,202.6607
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2019-01-15,204.1651
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2019-01-16,204.4445
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2019-01-17,204.3565
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2019-01-18,204.3117
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2019-01-21,204.6914
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2019-01-22,204.2699
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2019-01-23,202.7231
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2019-01-24,202.766
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2019-01-25,200.827
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2019-01-28,199.1861
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2019-01-29,198.8606
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2019-01-30,198.9147
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2019-01-31,201.0007
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2019-02-01,201.6273
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2019-02-04,202.0948
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2019-02-05,202.2096
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2019-02-06,203.226
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2019-02-07,203.8443
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2019-02-08,202.4397
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2019-02-11,201.2012
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2019-02-12,200.293
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2019-02-13,199.6143
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2019-02-14,198.4752
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2019-02-15,197.9741
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2019-02-18,196.1684
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2019-02-19,195.8069
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2019-02-20,197.1278
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2019-02-21,198.0313
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2019-02-22,198.0884
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2019-02-25,199.4159
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2019-02-26,199.0085
